vertices;density;time
20;25;16000
40;25;43180
60;25;177635
80;25;132585
100;25;193870
120;25;263980
140;25;349645
160;25;436820
180;25;549640
200;25;690470
20;50;13595
40;50;66800
60;50;82710
80;50;135290
100;50;202145
120;50;279930
140;50;382130
160;50;455775
180;50;564015
200;50;672590
20;75;15755
40;75;37205
60;75;83120
80;75;136485
100;75;207730
120;75;540435
140;75;353585
160;75;445065
180;75;561920
200;75;669840
20;99;13205
40;99;37710
60;99;81925
80;99;139345
100;99;200030
120;99;304680
140;99;355715
160;99;452570
180;99;556680
200;99;680460
