vertices;density;time
20;25;36610
40;25;302380
60;25;932930
80;25;2140805
100;25;4029220
120;25;6837805
140;25;10735810
160;25;15879940
180;25;22735305
200;25;30966720
20;50;39365
40;50;337910
60;50;935340
80;50;2119015
100;50;4056395
120;50;6860590
140;50;10752710
160;50;15870105
180;50;22558305
200;50;30809010
20;75;35060
40;75;298900
60;75;1041410
80;75;2213445
100;75;4048615
120;75;6888520
140;75;10838515
160;75;16108595
180;75;22484815
200;75;30779510
20;99;34410
40;99;310045
60;99;939075
80;99;2146720
100;99;4049950
120;99;6857880
140;99;10742570
160;99;15901420
180;99;22685880
200;99;30926275
