vertices;density;time
20;25;16305
40;25;41320
60;25;78515
80;25;129805
100;25;178170
120;25;241525
140;25;316780
160;25;394290
180;25;493035
200;25;596425
20;50;13575
40;50;36615
60;50;79065
80;50;126280
100;50;200860
120;50;248875
140;50;328470
160;50;448515
180;50;504865
200;50;677990
20;75;15740
40;75;35585
60;75;80880
80;75;147000
100;75;185570
120;75;248850
140;75;321350
160;75;526350
180;75;510860
200;75;682275
20;99;13635
40;99;36750
60;99;79750
80;99;128190
100;99;182300
120;99;255140
140;99;324395
160;99;404220
180;99;585655
200;99;643330
