vertices;density;time
20;25;19615
40;25;49735
60;25;131895
80;25;149400
100;25;221570
120;25;300740
140;25;399480
160;25;497865
180;25;614250
200;25;748795
20;50;16720
40;50;49645
60;50;96460
80;50;151595
100;50;242765
120;50;306685
140;50;404865
160;50;550990
180;50;637130
200;50;763495
20;75;16470
40;75;48425
60;75;98435
80;75;152455
100;75;242020
120;75;315985
140;75;401655
160;75;501180
180;75;630575
200;75;798135
20;99;18395
40;99;46410
60;99;98965
80;99;154550
100;99;235320
120;99;329610
140;99;405210
160;99;517265
180;99;633495
200;99;808365
