vertices;density;time
20;25;25605
40;25;50370
60;25;107710
80;25;128150
100;25;177520
120;25;237685
140;25;321135
160;25;357395
180;25;426800
200;25;494115
20;50;23380
40;50;45295
60;50;103690
80;50;116805
100;50;176270
120;50;235735
140;50;292375
160;50;383385
180;50;447475
200;50;562240
20;75;20520
40;75;45270
60;75;78420
80;75;122350
100;75;196955
120;75;238125
140;75;296540
160;75;351200
180;75;459185
200;75;517110
20;99;20535
40;99;45460
60;99;78145
80;99;129885
100;99;177430
120;99;245180
140;99;310170
160;99;356330
180;99;496310
200;99;607125
