vertices;density;time
20;25;32775
40;25;76965
60;25;134775
80;25;193790
100;25;288390
120;25;379755
140;25;558475
160;25;573430
180;25;706080
200;25;861880
20;50;38110
40;50;66925
60;50;169305
80;50;183190
100;50;294325
120;50;369295
140;50;492360
160;50;623880
180;50;740915
200;50;935095
20;75;28365
40;75;62950
60;75;125060
80;75;190015
100;75;295990
120;75;402045
140;75;503635
160;75;564870
180;75;756190
200;75;833150
20;99;27365
40;99;67985
60;99;130715
80;99;194450
100;99;294535
120;99;387205
140;99;566670
160;99;564600
180;99;727140
200;99;853100
