vertices;density;time
20;25;19290
40;25;42785
60;25;74430
80;25;101935
100;25;131850
120;25;173015
140;25;250780
160;25;256100
180;25;307935
200;25;411710
20;50;27955
40;50;46495
60;50;80140
80;50;97985
100;50;130730
120;50;169330
140;50;217670
160;50;301910
180;50;420250
200;50;363230
20;75;19460
40;75;44730
60;75;68495
80;75;98005
100;75;132360
120;75;172140
140;75;258240
160;75;259620
180;75;369630
200;75;361060
20;99;18800
40;99;40765
60;99;67075
80;99;98010
100;99;133725
120;99;169970
140;99;218390
160;99;254975
180;99;309515
200;99;416200
