vertices;density;time
20;25;29460
40;25;77410
60;25;182590
80;25;176940
100;25;280080
120;25;297060
140;25;406175
160;25;468600
180;25;569190
200;25;735250
20;50;44820
40;50;64530
60;50;133520
80;50;167695
100;50;235255
120;50;298180
140;50;382400
160;50;467830
180;50;614830
200;50;727575
20;75;27820
40;75;64140
60;75;111445
80;75;214275
100;75;290780
120;75;295480
140;75;420650
160;75;468325
180;75;570660
200;75;803470
20;99;28110
40;99;67315
60;99;112265
80;99;160895
100;99;233795
120;99;292620
140;99;481045
160;99;531635
180;99;569585
200;99;679245
